track_id,track_name,artist_name,year,genre,tempo,popularity,acousticness,danceability,energy,loudness
1CfuBY3BDdKpooQ9L5zgUc,Cigarettes,Juice WRLD,2022,rap,160.075,76,0.0306,0.587,0.614,-6.344
1QPreu0BNOrUfEb8HTd2qG,Rich Spirit,Kendrick Lamar,2022,rap,95.977,78,0.428,0.852,0.421,-9.153
6EbVuwU7EnKeF2hdpViXCH,Die Young (feat. 347aidan),"Sleepy Hallow, 347aidan",2022,rap,77.471,78,0.827,0.808,0.582,-6.26
1T4k0sw0HldDg004Kw4Oct,Forever (feat. Fridayy),Lil Baby,2022,rap,89.705,78,0.414,0.462,0.251,-12.072
0QNNd0qMCDbraS1nQPg3aA,HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",2022,rap,127.961,78,0.142,0.821,0.636,-4.479
221qmpQeBNV87sUjQeUTVH,Around Me (feat. Don Toliver),Metro Boomin,2022,rap,119.907,80,0.0958,0.693,0.67,-3.537
2g6tReTlM2Akp41g0HaeXN,Die Hard,Kendrick Lamar,2022,rap,100.988,79,0.319,0.775,0.736,-8.072
2aJnyNu4PQxQ2lyj5boiMG,I Hate U,SZA,2022,rap,106.534,78,0.514,0.533,0.417,-8.665
5gAwpwuchaCGnJLlBMGBzp,DO IT AGAIN (feat. 2Rare),"NLE Choppa, 2Rare",2022,rap,160.054,78,0.0864,0.806,0.64,-7.398
2TSfStvlAMLw89u3tali79,Dah Dah DahDah,Nardo Wick,2022,rap,167.912,74,0.149,0.66,0.373,-10.234
7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),Lil Durk,2022,rap,74.967,73,0.0417,0.659,0.745,-3.599
4rmVZajAF7PkrCagGPHbqa,Sticky,Drake,2022,rap,137.027,78,0.0917,0.853,0.495,-14.63
2N9LEu6Pf8nDcp3GjWJT1Z,I Can't Save You (Interlude) [with Future & feat. Don Toliver],Metro Boomin,2022,rap,143.083,77,0.0301,0.668,0.727,-4.613
0hPRWztAIbNkt6GcFcLiqF,Matte Black,$uicideboy$,2022,rap,75.003,76,0.122,0.877,0.826,-3.75
2ZlABhxMMa43COmZ97kKsJ,Jumbotron Shit Poppin,"Drake, 21 Savage",2022,rap,99.026,76,0.221,0.799,0.575,-6.257
1pacwLXyRO47ka0v6LTIiY,Raindrops (Insane) [with Travis Scott],Metro Boomin,2022,rap,111.988,79,0.103,0.796,0.539,-5.974
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,2022,rap,133.01,80,0.0645,0.95,0.891,-2.653
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),Gunna,2022,rap,77.502,77,0.00783,0.773,0.422,-4.572
5xMw6qCcpd2gBXPGTegC4W,SOS,SZA,2022,rap,119.159,75,0.669,0.507,0.657,-7.356
